,Country Name,Region,Year,Exports,Tax revenue,FDI outflow,GDP growth,GDS,Imports,Poverty headcount,Unemployment,Resident's Savings,FCE,Income Measure,Education expenditure,Geographic Size,Life expectancy,Population
15,Albania,Europe,2012,0.130114353,0.217178405,0.22627307,0.510487723,0.506876405,0.240733851,0.007434944,0.478498542,0.127463217,0.493123595,0.120053298,0.298476103,0.001653584,0.816944021,0.001865856
17,Albania,Europe,2014,0.12624555,0.231323944,0.226007195,0.521503338,0.465146788,0.238171846,0.012391574,0.648688047,0.127306323,0.534853212,0.132178548,0.278267499,0.001653584,0.828280825,0.001857714
18,Albania,Europe,2015,0.12119593,0.235018908,0.226328028,0.535204086,0.470428576,0.220128329,0.001239157,0.617346939,0.127235319,0.529571424,0.138041306,0.260941996,0.001653584,0.836114128,0.001851659
19,Albania,Europe,2016,0.130330153,0.219027086,0.224687939,0.569010667,0.465254489,0.228931319,0.001239157,0.552842566,0.127250997,0.534745511,0.144303797,0.273245741,0.001653584,0.84325334,0.001848342
70,Argentina,South America,2007,0.09660685,0.130184304,0.225881809,0.744562741,0.66869402,0.042141429,0.022304833,0.299562682,0.140513646,0.33130598,0.195069953,0.408440884,0.167090749,0.715871285,0.028515431
71,Argentina,South America,2008,0.093392932,0.145208866,0.225525434,0.591900444,0.654235901,0.042543848,0.019826518,0.276603499,0.142088106,0.345764099,0.206129247,0.428894297,0.167090749,0.736859247,0.028802035
72,Argentina,South America,2009,0.080043223,0.129057314,0.22508524,0.284265367,0.627768417,0.016469913,0.019826518,0.306122449,0.135683699,0.372231583,0.190672885,0.437528934,0.167090749,0.74660956,0.029097946
73,Argentina,South America,2010,0.076694139,0.137177991,0.225121394,0.779032128,0.621488773,0.026918441,0.008674102,0.271865889,0.137003912,0.378511227,0.21332445,0.40674452,0.167090749,0.739503399,0.029172985
74,Argentina,South America,2011,0.074106267,0.13390528,0.225257645,0.651933868,0.615262006,0.031798491,0.008674102,0.25255102,0.139431112,0.384737994,0.230912725,0.410244517,0.167090749,0.752823318,0.029513917
75,Argentina,South America,2012,0.062297517,0.138902314,0.225032497,0.435129387,0.595300622,0.015063311,0.007434944,0.254008746,0.135929591,0.404699378,0.23637575,0.389980045,0.167090749,0.764160123,0.029853945
76,Argentina,South America,2013,0.053642949,0.130264375,0.224950173,0.540958426,0.580143344,0.017965706,0.008674102,0.249635569,0.133354701,0.419856656,0.243304464,0.388070684,0.167090749,0.764953369,0.030192447
77,Argentina,South America,2014,0.052512485,0.132995402,0.225474454,0.389297715,0.585754097,0.013114915,0.007434944,0.255830904,0.133564647,0.414245903,0.237708195,0.367227045,0.167090749,0.773679073,0.030528715
79,Argentina,South America,2016,0.042481796,0.12411999,0.22536,0.402628711,0.57304947,0.010168791,0.008674102,0.28553207,0.131890182,0.42695053,0.245436376,0.353181813,0.167090749,0.758904869,0.031192414
86,Armenia,Asia,2013,0.126995742,0.288069678,0.225235614,0.568548689,0.386200835,0.251777691,0.021065675,0.416618076,0.127321216,0.613799165,0.119786809,0.2074159,0.001718921,0.671912246,0.001866565
101,Australia,Oceania,2008,0.083182605,0.33336363,0.232307083,0.577375463,0.687865518,0.072079014,0.004956629,0.145408163,0.147439484,0.312134482,0.460493005,0.406586576,0.469084148,0.927043958,0.01509042
103,Australia,Oceania,2010,0.081294835,0.268905882,0.228583368,0.535444985,0.685503092,0.058636478,0.003717472,0.180758017,0.150274304,0.314496908,0.485009993,0.471017679,0.469084148,0.936959531,0.01565443
107,Australia,Oceania,2014,0.08816731,0.293369003,0.228490345,0.547190138,0.692547248,0.063012589,0.006195787,0.212463557,0.157448267,0.307452752,0.589606929,0.405042179,0.469084148,0.956951905,0.016695121
109,Australia,Oceania,2016,0.07844783,0.299742437,0.223872561,0.552486351,0.652202448,0.064176869,0.006195787,0.198979592,0.13993068,0.347797552,0.596002665,0.400437148,0.469677679,0.961869384,0.017210603
110,Austria,Europe,2007,0.256264739,0.353825933,0.27681138,0.581729435,0.726646612,0.244799712,0.004956629,0.169825073,0.143146878,0.273353388,0.505796136,0.231994325,0.005019372,0.886897982,0.005754267
111,Austria,Europe,2008,0.259938657,0.365670438,0.24115896,0.511819346,0.722545203,0.249223333,0.006195787,0.143950437,0.145183823,0.277454797,0.535909394,0.238192527,0.005019372,0.895201266,0.005773012
112,Austria,Europe,2009,0.216996825,0.350943461,0.234503177,0.350689353,0.685188241,0.201965672,0.008674102,0.186588921,0.13737481,0.314811759,0.525782811,0.229848848,0.005019372,0.891896075,0.005788744
113,Austria,Europe,2010,0.249329549,0.351919154,0.215133676,0.523435195,0.687273981,0.241987656,0.006195787,0.168731778,0.138454809,0.312726019,0.545103264,0.23728896,0.005019372,0.900118745,0.005803217
114,Austria,Europe,2011,0.263675688,0.354447785,0.247280293,0.556916411,0.696017418,0.265016295,0.004956629,0.159985423,0.140255923,0.303982582,0.575083278,0.240765355,0.005019372,0.913420123,0.005823569
115,Austria,Europe,2012,0.263809219,0.363090452,0.23613168,0.487766174,0.695479311,0.265181618,0.007434944,0.169825073,0.138728895,0.304520689,0.600399734,0.239713291,0.005019372,0.911888449,0.005851208
116,Austria,Europe,2013,0.26096626,0.371504411,0.231135552,0.467568934,0.692334534,0.261429619,0.003717472,0.186588921,0.138400791,0.307665466,0.621052632,0.238554775,0.005019372,0.918498831,0.005887124
117,Austria,Europe,2014,0.260674082,0.371551497,0.224026083,0.487174921,0.696955012,0.257984189,0.002478315,0.197521866,0.139393587,0.303044988,0.631845436,0.228691569,0.005019372,0.93018792,0.005935076
118,Austria,Europe,2015,0.259085314,0.378605569,0.223093421,0.498067882,0.706144272,0.252704481,0.008674102,0.202259475,0.137423534,0.293855728,0.638640906,0.235926291,0.005019372,0.920272348,0.006004514
