,Country Name,Year,Adjusted savings: net national savings (current US$),Exports of goods and services (% of GDP),Final consumption expenditure (% of GDP),"Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),"GNI per capita, PPP (current international $)","Government expenditure on education, total (% of government expenditure)",Gross domestic savings (% of GDP),Imports of goods and services (% of GDP),Land area (sq. km),"Life expectancy at birth, total (years)","Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Tax revenue (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
15,Albania,2012,646116484.6,28.93748776,88.81169648,0.675158798,1.4172428,10450.0,11.62699509,11.18830352,47.57271286,27400.0,78.064,2900401.0,0.6,17.48323356,13.38
17,Albania,2014,189456900.4,28.21300146,92.23922297,0.571867614,1.774448853,11360.0,10.98846054,7.760777034,47.19484414,27400.0,78.407,2889104.0,1.0,18.30193614,18.05
18,Albania,2015,-17209217.41,27.26739115,91.80539522,0.696509873,2.218726375,11800.0,10.44102383,8.194604781,44.53361519,27400.0,78.644,2880703.0,0.1,18.51578986,17.19
19,Albania,2016,28424331.2,28.97789918,92.2303768,0.059342794,3.314980684,12270.0,10.82978725,7.7696232,45.83196365,27400.0,78.86,2876101.0,0.1,17.59022981,15.42
70,Argentina,2007,38630968400.0,22.66275031,75.5205568,0.523155949,9.007650875,16080.0,15.10157013,24.4794432,18.28242031,2736690.0,75.006,39876111.0,1.8,12.44826845,8.47
71,Argentina,2008,43213626289.0,22.06090038,76.70809674,0.384705758,4.057233103,16910.0,15.74783993,23.29190326,18.341773,2736690.0,75.641,40273769.0,1.6,13.31784636,7.84
72,Argentina,2009,24572822580.0,19.56098506,78.88204443,0.213692689,-5.918525076,15750.0,16.02066994,21.11795557,14.49614185,2736690.0,75.936,40684338.0,1.6,12.38304156,8.65
73,Argentina,2010,28415462781.0,18.93382341,79.39783265,0.227738015,10.12539816,17450.0,15.04796982,20.60216735,16.03718986,2736690.0,75.721,40788453.0,0.7,12.85304269,7.71
74,Argentina,2011,35480122849.0,18.44920915,79.9092778,0.280670981,6.003951693,18770.0,15.1585598,20.0907222,16.75694585,2736690.0,76.124,41261490.0,0.7,12.6636277,7.18
75,Argentina,2012,25288520889.0,16.23785946,81.54883692,0.19320213,-1.026420454,19180.0,14.51826,18.45116308,14.28868291,2736690.0,76.467,41733271.0,0.6,12.95284151,7.22
76,Argentina,2013,17793993055.0,14.61717339,82.79380332,0.161219625,2.405323781,19700.0,14.45792961,17.20619668,14.71675561,2736690.0,76.491,42202935.0,0.7,12.45290276,7.1
77,Argentina,2014,18405066827.0,14.40547859,82.33295546,0.364900179,-2.512615321,19280.0,13.79932976,17.66704454,14.00131506,2736690.0,76.755,42669500.0,0.6,12.61096661,7.27
79,Argentina,2016,13531333616.0,12.52709517,83.37646965,0.320435402,-2.080327844,19860.0,13.35554028,16.62353035,13.56679268,2736690.0,76.308,43590368.0,0.7,12.09728364,8.085
86,Armenia,2013,232803590.2,28.35348514,98.72357072,0.272112277,3.3,10430.0,8.749751091,1.276429283,49.20156302,28470.0,73.676,2901385.0,1.7,21.58621388,11.682
101,Australia,2008,58789457876.0,20.14887732,73.9458762,3.019344591,3.58622798,36000.0,15.04297924,26.0541238,22.69789909,7682300.0,81.39512195,21249199.0,0.4,24.20769581,4.24
103,Australia,2010,67040544323.0,19.79536654,74.13991771,1.572698639,2.226538078,37840.0,17.07881927,25.86008229,20.71526648,7682300.0,81.69512195,22031750.0,0.3,20.4770692,5.21
107,Australia,2014,87921233026.0,21.08233132,73.56133513,1.536559616,2.607401032,45690.0,14.99418068,26.43866487,21.36069688,7682300.0,82.3,23475686.0,0.5,21.89292334,6.08
109,Australia,2016,36934175523.0,19.26222591,76.87511755,-0.257427389,2.779142625,46170.0,14.84867477,23.12488245,21.53241596,7692020.0,82.44878049,24190907.0,0.5,22.26179913,5.71
110,Austria,2007,46295308905.0,52.56086942,70.76053118,20.30905362,3.727415301,39400.0,9.526359558,29.23946882,48.17238464,82520.0,80.1804878,8295487.0,0.4,25.39199432,4.91
111,Austria,2008,52224084124.0,53.24886062,71.09740674,6.4582569,1.460423676,41660.0,9.722205162,28.90259326,48.82482212,82520.0,80.43170732,8321496.0,0.5,26.07751972,4.2
112,Austria,2009,29495007800.0,45.20741656,74.16577855,3.872516754,-3.764578178,40900.0,9.458568573,25.83422145,41.85481441,82520.0,80.33170732,8343323.0,0.7,25.22516524,5.37
